timestamp,_VAL
2023-03-27 14:00,10.266666
2023-03-27 13:45,9.722222
2023-03-27 13:30,10.811111
2023-03-27 13:15,9.566667
2023-03-27 13:00,10.227777
2023-03-27 12:45,10.655556
2023-03-27 12:30,9.761111
2023-03-27 12:15,8.944445
2023-03-27 12:00,8.983334
2023-03-27 11:45,8.127778
2023-03-27 11:30,11.900000
2023-03-27 11:15,11.355556
2023-03-27 11:00,11.705556
2023-03-27 10:45,11.083333
2023-03-27 10:30,10.266666
2023-03-27 10:15,10.616667
2023-03-27 10:00,11.550000
2023-03-27 09:45,12.366667
2023-03-27 09:30,10.344444
2023-03-27 09:15,7.816667
2023-03-27 09:00,7.700000
2023-03-27 08:45,8.555555
2023-03-27 08:30,10.072222
2023-03-27 08:15,9.566667
2023-03-27 08:00,8.672222
2023-03-27 07:45,11.627778
2023-03-27 07:30,11.822222
2023-03-27 07:15,9.722222
2023-03-27 07:00,7.933333
2023-03-27 06:45,7.855556
2023-03-27 06:30,7.155556
2023-03-27 06:15,7.466667
2023-03-27 06:00,6.611111
2023-03-27 05:45,5.794445
2023-03-27 05:30,4.861111
2023-03-27 05:15,4.316667
2023-03-27 05:00,3.733333
2023-03-27 04:45,3.344445
2023-03-27 04:15,2.955555
2023-03-27 04:00,2.683333
2023-03-27 03:45,2.644444
2023-03-27 03:30,2.683333
2023-03-27 03:15,2.177778
2023-03-27 03:00,2.644444
2023-03-27 02:45,2.683333
2023-03-27 02:30,2.527778
2023-03-27 02:15,2.838889
2023-03-27 02:00,3.227778
2023-03-27 01:45,2.838889
2023-03-27 01:30,2.955555
2023-03-27 01:15,3.655555
2023-03-27 01:00,4.238889
2023-03-27 00:45,4.005556
2023-03-27 00:30,4.666667
2023-03-27 00:15,4.938889
2023-03-27 00:00,5.833333
2023-03-26 23:45,8.477777
2023-03-26 23:30,9.761111
2023-03-26 23:15,9.955556
2023-03-26 23:00,9.566667
2023-03-26 22:45,10.383333
2023-03-26 22:30,11.900000
2023-03-26 22:15,12.872222
2023-03-26 22:00,15.205556
2023-03-26 21:45,17.266666
2023-03-26 21:30,18.627777
2023-03-26 21:15,15.905556
2023-03-26 21:00,14.816667
2023-03-26 20:45,13.961111
2023-03-26 20:30,17.072222
2023-03-26 20:15,13.572222
2023-03-26 20:00,11.705556
2023-03-26 19:45,13.144444
2023-03-26 19:30,12.872222
2023-03-26 19:15,13.455556
2023-03-26 19:00,12.055555
2023-03-26 18:45,11.083333
2023-03-26 18:30,11.355556
2023-03-26 18:15,12.327778
2023-03-26 18:00,12.172222
2023-03-26 17:45,12.872222
2023-03-26 17:30,12.327778
2023-03-26 17:15,14.622222
2023-03-26 17:00,15.361111
2023-03-26 16:45,14.855556
2023-03-26 16:30,15.555555
2023-03-26 16:15,16.683332
2023-03-26 16:00,17.033333
2023-03-26 15:45,14.272223
2023-03-26 15:30,14.233334
2023-03-26 15:15,15.400000
2023-03-26 15:00,16.605556
2023-03-26 14:45,16.955555
2023-03-26 14:30,16.255556
2023-03-26 14:15,15.711111
2023-03-26 14:00,16.138889
2023-03-26 13:45,15.788889
2023-03-26 13:30,16.566668
2023-03-26 13:15,17.966667
2023-03-26 13:00,17.655556
2023-03-26 12:45,17.383333
2023-03-26 12:30,17.422222
2023-03-26 12:15,18.122223
2023-03-26 12:00,18.822222
2023-03-26 11:45,16.255556
2023-03-26 11:30,18.394444
2023-03-26 11:15,16.527779
2023-03-26 11:00,16.761110
2023-03-26 10:45,14.622222
2023-03-26 10:30,16.022223
2023-03-26 10:15,14.038889
2023-03-26 10:00,14.350000
2023-03-26 09:45,11.666667
2023-03-26 09:30,9.294444
2023-03-26 09:15,9.411111
2023-03-26 09:00,8.088889
2023-03-26 08:45,7.272222
2023-03-26 08:30,7.155556
2023-03-26 07:00,5.716667
2023-03-26 06:45,5.250000
2023-03-26 06:30,4.900000
2023-03-26 06:15,5.405556
2023-03-26 06:00,7.155556
2023-03-26 05:45,5.561111
2023-03-26 05:30,4.550000
2023-03-26 05:15,4.744444
2023-03-26 05:00,5.094444
2023-03-26 04:45,5.833333
2023-03-26 04:30,4.938889
2023-03-26 04:15,5.172222
2023-03-26 04:00,4.238889
2023-03-26 03:45,3.694444
2023-03-26 03:30,3.616667
2023-03-26 03:15,3.344445
2023-03-26 03:00,3.461111
2023-03-26 01:30,3.344445
2023-03-26 01:15,4.200000
2023-03-26 01:00,3.733333
2023-03-26 00:45,4.200000
2023-03-26 00:30,4.783333
2023-03-26 00:15,4.822222
2023-03-26 00:00,5.172222
2023-03-25 23:45,5.250000
2023-03-25 23:30,5.211111
2023-03-25 23:15,6.183333
2023-03-25 23:00,6.261111
2023-03-25 22:45,5.483333
2023-03-25 22:30,6.144444
2023-03-25 22:15,6.533333
2023-03-25 22:00,8.127778
2023-03-25 21:30,9.100000
2023-03-25 21:15,9.644444
2023-03-25 21:00,10.111111
2023-03-25 20:45,10.616667
2023-03-25 20:30,12.950000
2023-03-25 20:15,12.366667
2023-03-25 20:00,14.038889
2023-03-25 19:45,17.422222
2023-03-25 19:30,16.566668
2023-03-25 19:15,15.166667
2023-03-25 19:00,14.466666
2023-03-25 18:45,12.872222
2023-03-25 18:30,14.505555
2023-03-25 18:15,13.688889
2023-03-25 18:00,11.083333
2023-03-25 17:45,11.472222
2023-03-25 17:30,13.727777
2023-03-25 17:15,14.350000
2023-03-25 17:00,14.466666
2023-03-25 16:45,14.816667
2023-03-25 16:30,13.922222
2023-03-25 16:15,14.583333
2023-03-25 16:00,16.605556
2023-03-25 15:45,17.888889
2023-03-25 15:30,18.005556
2023-03-25 15:15,17.461111
2023-03-25 15:00,17.733334
2023-03-25 14:45,18.238890
2023-03-25 14:30,19.133333
2023-03-25 14:15,19.094444
2023-03-25 14:00,19.988890
2023-03-25 13:45,21.116667
2023-03-25 13:30,20.299999
